,position,PLAYER_ID
0,Forward,1627774
0,Forward-Center,202328
0,Center-Forward,1628396
0,Guard,1629669
0,Guard-Forward,1629750
0,Forward,1630172
0,Forward,1630195
0,Forward-Center,1630233
0,Guard,1630245
0,Forward,1630792
0,Guard,201976
0,Center-Forward,202684
0,Guard,1627736
0,Forward,1627884
0,Guard-Forward,1628972
0,Guard,1629006
0,Forward,1629020
0,Forward,1629076
0,Guard,1629162
0,Center-Forward,1629675
0,Guard,1630162
0,Forward,1630183
0,Guard,1630593
0,Guard,1630198
0,Guard-Forward,1629003
0,Forward,1630691
0,Center,1630568
0,Guard,1630240
0,Guard-Forward,1629680
0,Guard,1629035
0,Guard-Forward,1627788
0,Guard,203585
0,Center,201599
0,Guard,201980
0,Forward,202699
0,Guard,1628402
0,Guard,1630165
0,Guard,1630178
0,Forward,1630180
0,Forward-Center,1630191
0,Forward,1630296
0,Forward,1630587
0,Forward,1630194
0,Forward-Guard,1628369
0,Guard,1629001
0,Forward,1629684
0,Guard,1630202
0,Forward,1630573
0,Forward,1630582
0,Forward-Center,1630583
0,Guard-Forward,1630174
0,Guard-Forward,1629633
0,Forward,1630346
0,Forward-Center,1628464
0,Forward-Guard,203937
0,Center-Forward,201143
0,Guard-Forward,1627759
0,Guard,1628401
0,Guard,1629723
0,Forward,1630214
0,Forward,1630238
0,Forward,1630533
0,Guard,1630271
0,Center-Forward,1628436
0,Guard,203935
0,Guard,1629659
0,Guard,1630267
0,Guard,1630538
0,Forward-Guard,1626169
0,Guard,1627854
0,Forward,1628427
0,Guard,1628432
0,Forward,1629117
0,Forward-Center,1630192
0,Guard,1630210
0,Guard,1630222
0,Guard,1630559
0,Guard,1630644
0,Guard,1628370
0,Forward-Center,203210
0,Guard,203085
0,Center,202326
0,Forward,201145
0,Guard,201571
0,Guard,201961
0,Center,201577
0,Guard,203506
0,Guard,1628365
0,Center,1628964
0,Forward-Center,1629021
0,Forward,1629130
0,Forward,1629643
0,Guard,1630181
0,Guard,1630606
0,Guard,1629962
0,Forward,1629678
0,Forward,1629649
0,Forward,1629312
0,Guard,1629216
0,Guard,1628539
0,Forward,2617
0,Center,1630209
0,Center,203920
0,Forward,1628384
0,Guard-Forward,1629004
0,Guard-Forward,1629018
0,Guard-Forward,1629139
0,Guard,1630193
0,Forward,1630567
0,Center,1630579
0,Forward,1630624
0,Guard,1630201
0,Forward,1630173
0,Forward,1630167
0,Guard,1629717
0,Forward-Center,1628449
0,Guard,1627853
0,Guard-Forward,203095
0,Guard,202692
0,Forward,201959
0,Forward,201152
0,Guard,1630613
0,Forward,1630678
0,Guard,1630560
0,Guard,1630169
0,Forward-Guard,1629052
0,Guard,1628221
0,Center,203083
0,Forward,201142
0,Forward,1630556
0,Forward,1630543
0,Guard,201988
0,Guard,1627741
0,Guard,204456
0,Forward,202362
0,Guard,202681
0,Guard-Forward,1628971
0,Center,1629651
0,Forward,1630586
0,Guard,1630528
0,Forward,1630231
0,Guard,1630224
0,Guard,203992
0,Center,203991
0,Guard-Forward,1627789
0,Forward,1628995
0,Guard,1629027
0,Forward-Guard,1629631
0,Forward,201568
0,Guard,1626153
0,Guard-Forward,1628021
0,Guard-Forward,1628989
0,Forward-Center,1630168
0,Center,1630578
0,Forward,1630552
0,Guard,1630536
0,Forward,1630256
0,Guard,1630219
0,Guard,1629726
0,Forward,1630557
0,Guard,1630648
0,Guard,202397
0,Guard,202738
0,Guard,203526
0,Forward-Center,1626149
0,Forward-Guard,1626162
0,Forward,1628998
0,Forward-Center,1629655
0,Forward-Center,1629667
0,Forward,1630166
0,Forward,1630264
0,Forward-Center,203486
0,Guard,1626179
0,Forward,1628970
0,Forward,1629023
0,Forward,1629083
0,Guard,1630163
0,Forward-Center,1630176
0,Guard,1630216
0,Forward,1630225
0,Center-Forward,1630539
0,Guard,1630547
0,Forward,1630550
0,Forward-Center,1630572
0,Forward,1630205
0,Guard,1629730
0,Guard-Forward,1629685
0,Forward,1629670
0,Center,1629650
0,Guard,1629164
0,Forward-Center,1628374
0,Guard,1629623
0,Guard,1629636
0,Forward-Guard,1630171
0,Center,1630596
0,Forward,203648
0,Forward,1626224
0,Guard,1628975
0,Guard,1627747
0,Guard,201950
0,Forward-Center,201567
0,Guard,200765
0,Guard,1630612
0,Forward,1626168
0,Guard,203901
0,Forward-Guard,203200
0,Forward,203084
0,Center-Forward,201580
0,Center,202687
0,Guard-Forward,203087
0,Guard-Forward,1628367
0,Forward,1628470
0,Guard,1628978
0,Guard,1628988
0,Forward-Center,1629002
0,Center,1629674
0,Forward,1630688
0,Guard,1630994
0,Center,1627745
0,Forward,1628969
0,Guard,1629013
0,Forward,1629661
0,Guard,1630558
0,Forward,1630535
0,Guard,1630314
0,Guard,1630190
0,Guard,1629712
0,Forward-Guard,1627863
0,Guard,203903
0,Center,203497
0,Guard,201144
0,Forward-Guard,200752
0,Guard,1630553
0,Forward,1630270
0,Guard,1630215
0,Guard,1629833
0,Forward,1629672
0,Guard,1629638
0,Forward,1627823
0,Forward,1626220
0,Guard,203463
0,Center,202355
0,Forward,203110
0,Guard,203468
0,Forward,1626172
0,Center-Forward,1626195
0,Guard,1629673
0,Guard,1629683
0,Forward,1630230
0,Guard,1630541
0,Guard,1630631
0,Guard-Forward,202066
0,Forward,202357
0,Guard,202691
0,Guard,203503
0,Forward-Center,1626204
0,Forward,1629109
0,Forward,1629308
0,Guard,1629607
0,Forward,1630228
0,Guard-Forward,1627814
0,Forward,1630530
0,Forward,1627827
0,Center,1626246
0,Forward-Center,203939
0,Guard,203504
0,Guard-Forward,203493
0,Forward,202722
0,Guard,203915
0,Guard,1626196
0,Forward,1627737
0,Forward-Center,1628380
0,Forward,1628966
0,Guard,1628973
0,Forward-Guard,1629029
0,Center,1629111
0,Forward,1629719
0,Guard,1630200
0,Guard,1630563
0,Guard-Forward,1630580
0,Forward,1630589
0,Guard,1630182
0,Guard-Forward,1630170
0,Forward-Guard,1629640
0,Guard-Forward,1629033
0,Center,1627751
0,Guard,1627749
0,Center-Forward,1628392
0,Guard-Forward,203918
0,Forward,1629676
0,Guard-Forward,1629611
0,Guard,1628379
0,Center,1627826
0,Forward,203496
0,Guard-Forward,1628982
0,Guard-Forward,1629599
0,Guard,1629875
0,Guard,1630249
0,Guard,1630527
0,Guard,1626181
0,Guard-Forward,201587
0,Forward,202331
0,Forward,202694
0,Guard,202704
0,Forward,203952
0,Forward,203490
0,Guard-Forward,2738
0,Guard-Forward,1629022
0,Guard-Forward,1629641
0,Forward,1630529
0,Guard,1629630
0,Forward,1629634
0,Center,202685
0,Guard,1630217
0,Forward-Center,1628991
0,Guard,1628984
0,Guard-Forward,1628415
0,Center,203500
0,Guard,1626145
0,Guard,201935
0,Center-Forward,203954
0,Center-Forward,2730
0,Forward,202711
0,Forward,203109
0,Guard,1626164
0,Guard,101108
0,Center,1629028
0,Guard,1628378
0,Forward-Center,1629234
0,Guard,1628373
0,Guard,1629639
0,Guard-Forward,1629622
0,Guard,200768
0,Center,203473
0,Forward,1628997
0,Center-Forward,1628389
0,Forward,202710
0,Guard-Forward,203897
0,Center,202696
0,Guard,1629632
0,Guard-Forward,201942
0,Center-Forward,202334
0,Guard,1630561
0,Guard,203552
0,Guard,1630227
0,Forward,1627783
0,Guard-Forward,1630551
0,Center,201572
0,Guard,201588
0,Guard,202083
0,Forward,1626171
0,Forward,201586
0,Forward,203114
0,Forward-Center,203482
0,Forward,203507
0,Guard,1626192
0,Guard,1630595
0,Guard,1630540
0,Center-Forward,1628418
0,Forward-Guard,1629628
0,Guard-Forward,203145
0,Guard,1628420
0,Center,203999
0,Guard,203115
0,Forward,203932
0,Center-Forward,1626157
0,Forward,1627752
0,Forward,1627777
0,Guard,1630591
0,Center,1630208
0,Guard,1626166
0,Forward,1630322
0,Guard,1630235
0,Forward,1630526
0,Center,203476
0,Guard,203484
0,Forward-Center,204001
0,Center-Forward,200746
0,Forward-Center,1630188
0,Guard,1627936
0,Guard,1628960
0,Center,1630846
0,Guard,1626156
0,Forward,200782
0,Forward,1630625
0,Guard,101150
0,Guard,1627832
0,Forward,2546
0,Guard,202340
0,Guard,201566
0,Forward-Center,203076
0,Forward,1630532
0,Forward,1627742
0,Center-Forward,1629011
0,Guard,1630175
0,Guard-Forward,203082
0,Guard,1629656
0,Center-Forward,1629048
0,Forward,202693
0,Forward,1629752
0,Forward,1630197
0,Guard,1630177
0,Guard,1630598
0,Forward,201933
0,Forward,202330
0,Forward,2544
0,Center,203458
0,Forward-Center,1628981
0,Guard,1626208
0,Forward,1628467
0,Guard,202709
0,Guard,1629718
0,Forward,1628963
0,Forward-Center,203944
0,Guard,1630288
0,Forward,200794
0,Guard,1629185
0,Center-Forward,1628976
0,Center-Forward,1629057
0,Forward,1630570
0,Guard,203471
0,Forward,1626174
0,Guard,1630544
0,Forward,1629647
0,Forward,1628400
0,Guard,201569
0,Forward,203924
0,Forward-Guard,1626159
0,Guard,203917
0,Guard,203914
0,Guard,1628983
0,Guard,1629744
0,Guard,1628404
0,Forward-Center,1627734
0,Forward-Guard,203090
0,Guard,1627763
0,Forward,1628398
0,Guard,201939
0,Forward,1626158
0,Guard,1628368
0,Guard,1630537
0,Forward-Center,1629681
0,Forward,1628993
0,Forward-Center,1629731
0,Forward,203926
0,Forward-Center,1628381
0,Forward,1629103
0,Center-Forward,1628962
0,Guard,1629067
0,Guard,1628977
0,Forward-Guard,1629629
